ID,Detail,Cause,Result
19650513-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19650910-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19651017-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19651204-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19651204-1,"Forced landing outside airport;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19660101-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19660101-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19660113-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19660117-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19660614-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19660616-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19670218-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19670222-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19670222-2,Mid air collision;Collision with other aircraft,COLLISIONS,
19670309-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19670323-0,Runway incursion;Collision with other aircraft,COLLISIONS,
19670622-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19670719-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19670927-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19671025-1,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19680104-1,Low visibility;Loss of control;Mid air collision;Collision with other aircraft,WEATHER;COLLISIONS,Loss of control
19680104-2,Low visibility;Loss of control;Mid air collision;Collision with other aircraft,WEATHER;COLLISIONS,Loss of control
19680116-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19680121-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19680327-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19680612-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19680804-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19681003-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19681213-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19681213-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19690115-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19690206-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19690518-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19690603-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19690603-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19690623-2,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19690623-3,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19690803-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19690821-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19690909-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19690920-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19691001-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19691214-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19700301-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19700401-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19700416-0,Loss of control;Collision with other aircraft,COLLISIONS,Loss of control
19700720-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19701130-0,Runway incursion;Collision with other aircraft,COLLISIONS,
19701130-1,Runway incursion;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19710109-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19710119-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19710119-1,Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19710129-0,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19710129-1,"Runway incursion;Forced landing on runway;Emergency, forced landing;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19710606-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19710730-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19710804-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19710901-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19710901-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19711204-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19711226-2,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19720219-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19720629-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19720629-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19720729-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19720729-2,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19721023-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19721023-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19721205-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19721220-0,Runway incursion;Collision with other aircraft,COLLISIONS,
19721220-1,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19730305-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19730305-2,Language/communication problems;Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS;FLIGHTCREW,Loss of control
19730308-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19730329-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19730329-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19730412-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19730412-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19730727-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19740209-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19740209-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19740418-0,Runway incursion;Collision with other aircraft,COLLISIONS,
19740509-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19740509-2,Mid air collision;Collision with other aircraft,COLLISIONS,
19741101-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19741204-0,"Forced landing outside airport;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19741204-3,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19750109-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19750109-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19750326-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19750915-2,Ground collision;Collision with other aircraft,COLLISIONS,
19760318-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19760318-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19760909-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19760909-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19760910-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19760910-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19761122-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19770102-0,Runway incursion;Runway excursion;Collision with other aircraft,COLLISIONS,Runway excursion
19770102-1,Runway incursion;Runway excursion;Collision with other aircraft,COLLISIONS,Runway excursion
19770121-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19770327-0,Collision with other aircraft;Runway incursion;Runway mishap;Language/communication problems;Low visibility,WEATHER;COLLISIONS;FLIGHTCREW,Runway mishap
19770327-1,Collision with other aircraft;Runway incursion;Runway mishap;Language/communication problems;Low visibility,WEATHER;COLLISIONS;FLIGHTCREW,Runway mishap
19770409-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19770507-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19770507-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19780201-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19780301-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19780518-2,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19780925-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19790201-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19790215-0,Runway incursion;Runway excursion;Collision with other aircraft,COLLISIONS,Runway excursion
19790217-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19790811-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19790811-2,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19790904-0,Runway mishap;Mid air collision;Collision with other aircraft,COLLISIONS,Runway mishap
19790909-0,Collision with other aircraft,COLLISIONS,
19800806-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19801202-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19801202-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19801210-0,Runway incursion;Collision with other aircraft,COLLISIONS,
19810417-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19810718-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19810824-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19810918-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19811026-0,Controlled Flight Into Terrain (CFIT);Water;Near miss;Collision with other aircraft,COLLISIONS,Controlled Flight Into Terrain (CFIT)
19811126-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19811126-2,Mid air collision;Collision with other aircraft,COLLISIONS,
19820211-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19820313-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19820529-1,"Forced landing outside airport;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19820714-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19820814-0,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19820814-1,Runway incursion;Rejected takeoff;Take off;Collision with other aircraft,LANDING/TAKEOFF;COLLISIONS,
19820905-0,Ground collision;Collision with other aircraft,COLLISIONS,
19820917-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19821106-0,"Emergency landing;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19821106-2,"Emergency landing;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19830206-0,Runway incursion;Loss of control;Collision with other aircraft,COLLISIONS,Loss of control
19830914-0,Runway incursion;Collision with other aircraft,COLLISIONS,
19831207-0,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19831207-1,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19831223-0,Landing or takeoff on wrong runway;Collision with other aircraft;Runway incursion;Ground collision;Take off;Low visibility,WEATHER;LANDING/TAKEOFF;COLLISIONS,
19840418-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19840418-1,"Ditching;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19840520-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19841123-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19841123-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19850329-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19850503-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19850503-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19850812-2,"Forced landing outside airport;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19850922-0,Mid air collision;Collision with other aircraft,COLLISIONS,
19851110-0,Language/communication problems;Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS;FLIGHTCREW,Loss of control
19851210-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19851210-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19860305-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19860305-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19860618-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19860831-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19861106-0,Ground collision;Collision with other aircraft,COLLISIONS,
19870115-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19870402-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19870402-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19870616-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19870820-0,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19870820-1,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19871021-0,Runway incursion;Runway mishap;Low visibility;Collision with other aircraft,WEATHER;COLLISIONS,Runway mishap
19880605-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19881026-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19890220-1,"Forced landing outside airport;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19891205-0,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19900118-1,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19900118-2,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19900409-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19900602-2,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19900822-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19901002-3,Runway incursion;Runway excursion;Hijack;Collision with other aircraft,SECURITY;COLLISIONS,Runway excursion
19901203-1,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19901203-2,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19910201-0,Runway incursion;Runway mishap;Language/communication problems;Collision with other aircraft,COLLISIONS;FLIGHTCREW,Runway mishap
19910201-1,Runway incursion;Runway mishap;Language/communication problems;Collision with other aircraft,COLLISIONS;FLIGHTCREW,Runway mishap
19910321-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19910321-2,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19911120-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19920401-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19920401-2,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19920511-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19921201-2,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19921201-3,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19921222-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19930208-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19931209-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19931209-2,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19940909-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19941122-0,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19950199-0,Ground collision;Collision with other aircraft,COLLISIONS,
19950210-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19950312-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19950312-2,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19950501-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19950621-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19950717-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19951123-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19951123-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19960123-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19960123-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19960402-0,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19960402-1,Runway incursion;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19960419-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19960927-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19960927-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19961107-0,Loss of control;Near miss;Collision with other aircraft,COLLISIONS,Loss of control
19961112-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19961112-1,Language/communication problems;Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS;FLIGHTCREW,Loss of control
19961117-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19961119-0,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19970315-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19970325-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19970807-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19970913-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19970913-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19971001-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19971211-0,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
19980404-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19980510-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19980510-2,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19980512-1,Runway incursion;Collision with other aircraft,COLLISIONS,
19980512-2,Runway incursion;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19980520-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19980730-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
19980918-0,"Ditching;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19980918-2,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
19981111-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19990116-0,Runway incursion;Loss of control;Collision with other aircraft,COLLISIONS,Loss of control
19990212-1,Mid air collision;Collision with other aircraft,COLLISIONS,
19990305-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19990305-2,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19990412-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19990807-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
19990807-2,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20000525-0,Runway incursion;Runway mishap;Language/communication problems;Collision with other aircraft,COLLISIONS;FLIGHTCREW,Runway mishap
20000525-1,Runway incursion;Runway mishap;Language/communication problems;Collision with other aircraft,COLLISIONS;FLIGHTCREW,Runway mishap
20000623-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20000824-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
20011008-0,Runway incursion;Low visibility;Loss of control;Collision with other aircraft,WEATHER;COLLISIONS,Loss of control
20011008-1,Runway incursion;Runway mishap;Language/communication problems;Collision with other aircraft,COLLISIONS;FLIGHTCREW,Runway mishap
20011227-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20011227-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20020508-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20020508-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20020620-0,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
20020624-0,Ground collision;Collision with other aircraft,COLLISIONS,
20020701-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20020701-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20020701-2,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20021001-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20021001-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20021226-1,Normal landing;Mid air collision;Collision with other aircraft,COLLISIONS,Normal landing
20031203-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20040125-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20040125-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20040523-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20040523-1,"Forced landing outside airport;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
20050510-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20050510-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20050829-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20050829-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20060202-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20060202-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20060205-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20060205-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
20060828-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
20060908-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20060908-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20060926-0,"Collision with other aircraft;Runway incursion;Forced landing on runway;Emergency, forced landing;Language/communication problems",COLLISIONS;FLIGHTCREW,"Emergency, forced landing"
20060926-1,Runway incursion;Runway mishap;Language/communication problems;Collision with other aircraft,COLLISIONS;FLIGHTCREW,Runway mishap
20060929-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20060929-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
20061031-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20061226-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20061226-2,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20070124-2,Runway mishap;Ground collision;Collision with other aircraft,COLLISIONS,Runway mishap
20070727-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20070727-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20071212-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20071212-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20080201-4,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20080217-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20080217-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20090115-1,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
20090115-2,Runway incursion;Runway mishap;Collision with other aircraft,COLLISIONS,Runway mishap
20090506-1,"Forced landing on runway;Emergency, forced landing;Mid air collision;Collision with other aircraft",COLLISIONS,"Emergency, forced landing"
20091029-1,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20100618-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20100618-2,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20110714-2,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20110714-3,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20110902-0,Loss of control;Mid air collision;Collision with other aircraft,COLLISIONS,Loss of control
20111030-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20111208-0,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
20111208-1,Ground collision;Damaged on the ground;Collision with other aircraft,COLLISIONS,Damaged on the ground
